"Customer ID",TotalSales
CG-12520,6892.680000000001
DV-13045,6716.882999999999
SO-20335,15615.475499999995
BH-11710,37532.05100000001
AA-10480,10697.222
IM-15070,29582.924000000006
HP-14815,11941.864
PK-19075,48951.90400000001
AG-10270,15391.557999999995
ZD-21925,8963.644
KB-16585,16456.557999999986
SF-20065,4581.245999999998
EB-13870,16603.319000000003
EH-13945,4105.071
TB-21520,28383.72799999997
MA-17560,25683.721
GH-14485,8167.4439999999995
SN-20710,18767.8092
LC-16930,26886.962000000014
RA-19885,22993.91400000001
ES-14080,27891.115999999987
ON-18715,9405.119999999997
PO-18865,14959.313999999995
LH-16900,13771.931999999995
DP-13000,6205.087999999997
JM-15265,10824.846000000001
TB-21055,8807.331
KM-16720,29456.821999999986
PS-18970,7671.888999999998
BS-11590,14729.577999999994
KD-16270,49694.158
HM-14980,4417.6759999999995
JE-15745,38402.704999999994
KB-16600,5845.314000000001
SC-20770,26956.056999999993
DN-13690,12838.73999999999
JC-16105,5151.426
CS-12400,21911.158499999998
PG-18895,11922.913999999992
GM-14455,18471.774
JS-15685,6786.413999999999
KB-16315,9416.714000000004
RB-19705,12404.700000000003
PN-18775,8802.951999999996
KD-16345,11333.764000000001
ER-13855,7474.738
RB-19465,27339.415999999997
GZ-14470,26130.899999999987
LC-16870,15157.131999999992
JM-15250,18872.17399999999
PA-19060,4376.458
CV-12805,14221.9636
CL-12565,65283.34599999998
RC-19960,5101.141999999998
DK-13090,15903.307000000003
GG-14650,13296.007999999993
SC-20725,31357.210000000014
AD-10180,36605.99999999999
PF-19165,16620.000000000004
TS-21610,16811.284000000003
LS-16975,17931.923999999988
DW-13585,7229.104000000001
LC-16885,44380.67400000002
JD-15895,38738.755999999994
SH-19975,16645.53950000001
SG-20080,20439.481000000003
HA-14920,15505.008000000013
MG-17680,14101.187999999998
JE-16165,16183.498
TW-21025,30987.725999999984
SP-20650,9591.065999999999
NK-18490,3432.2980000000002
DB-13060,25591.793999999987
NP-18670,23379.842
TT-21070,29493.552
EM-13960,5602.204
RD-19900,18803.524000000005
MJ-17740,37693.37599999998
BM-11140,69659.45000000001
CS-12130,5307.839999999999
JB-15400,10749.705
SJ-20500,7142.2260000000015
JK-15640,28514.691999999985
DK-13150,4786.982
RM-19675,35806.386
SK-19990,5300.458999999999
FM-14290,22417.19800000001
AM-10360,4884.061999999998
MP-17470,19236.731999999993
MZ-17515,15389.356000000002
CB-12025,36169.42700000001
VM-21685,14729.215999999999
FH-14365,40101.96
MB-17305,8563.975999999999
BS-11755,14954.099999999997
LC-17140,15630.611999999992
HK-14890,29266.783999999985
LE-16810,8816.699999999997
JH-15985,47729.948
MS-17980,5130.716
VW-21775,36676.202
JH-15910,5756.877000000001
JB-15925,5403.302000000001
DS-13180,17290.812799999992
VD-21670,37700.15399999999
EA-14035,15964.974999999993
DB-13120,17590.267999999996
KL-16645,84431.51700000004
DW-13480,31541.098000000005
LH-17155,9961.854999999996
KC-16540,23449.612
DL-13315,8676.365999999998
DR-12880,37483.20599999999
CC-12670,13618.151500000005
Dl-13600,4533.602000000001
SB-20290,48347.341000000015
RC-19825,5798.459000000002
AH-10210,28832.093999999997
CB-12535,24741.11550000001
CA-12310,8406.473999999998
KH-16690,35207.109
BB-10990,4413.069999999998
