product_id,category,price,base_price,region,priority,status,amount,user_id
1,Clothing,14.75,14.75,South,High,Completed,53.72,2424
2,Sports,25.57,25.57,South,Low,Completed,80.73,9928
3,Sports,118.02,118.02,North,High,Returned,263.07,6514
4,Clothing,27.62,27.62,East,Low,Cancelled,115.73,9785
5,Clothing,194.89,194.89,Central,Medium,Cancelled,628.5,1750
6,Furniture,2341.9,2341.9,South,High,Returned,4607.66,6977
7,Grocery,38.28,38.28,East,Low,Completed,128.56,5010
8,Grocery,47.3,47.3,Central,High,Cancelled,205.28,4752
9,Electronics,1619.84,1619.84,North,High,Cancelled,2742.44,8517
10,Grocery,27.96,27.96,Central,Low,Cancelled,110.09,7543
11,Books,17.06,17.06,Central,Medium,Completed,67.8,3504
12,Grocery,79.62,79.62,North,Medium,Returned,262.96,5119
13,Electronics,1376.55,1376.55,Central,Medium,Cancelled,1746.18,8433
14,Electronics,1909.94,1909.94,East,Low,Pending,5600.45,5889
15,Furniture,543.23,543.23,Central,Low,Completed,1801.12,2832
16,Books,53.33,53.33,East,High,Completed,96.62,2290
17,Clothing,149.06,149.06,Central,High,Pending,532.29,3705
18,Toys,81.51,81.51,South,Low,Pending,309.28,7118
19,Beauty,135.44,135.44,South,High,Completed,300.67,4770
20,Furniture,120.85,120.85,North,High,Completed,556.24,2160
21,Furniture,907.58,907.58,Central,High,Returned,1652.33,7669
22,Furniture,373.54,373.54,East,Medium,Returned,1031.53,2612
23,Electronics,835.11,835.11,North,High,Pending,1335.24,7912
24,Grocery,29.3,29.3,North,Medium,Completed,29.67,1241
25,Clothing,186.01,186.01,South,Medium,Returned,524.87,1960
26,Grocery,39.14,39.14,East,Medium,Cancelled,100.85,8973
27,Grocery,20.61,20.61,North,Low,Completed,81.23,8811
28,Grocery,7.57,7.57,South,High,Completed,27.52,2964
29,Furniture,1778.87,1778.87,North,Medium,Cancelled,8406.52,6147
30,Furniture,870.28,870.28,East,Medium,Cancelled,4091.95,1152
31,Beauty,95.07,95.07,North,High,Pending,278.05,6718
32,Clothing,177.06,177.06,South,Medium,Cancelled,596.52,9666
33,Electronics,1352.33,1352.33,North,High,Cancelled,1737.47,3546
34,Toys,45.85,45.85,East,High,Cancelled,134.01,1832
35,Clothing,130.51,130.51,North,High,Cancelled,527.09,5291
36,Grocery,74.64,74.64,West,Low,Completed,94.78,3442
37,Electronics,1677.46,1677.46,South,Medium,Pending,1636.67,1653
38,Books,16.55,16.55,North,Medium,Returned,80.93,4878
39,Grocery,97.67,97.67,West,High,Pending,380.29,7745
40,Furniture,873.74,873.74,North,Medium,Completed,3849.78,8541
41,Books,21.79,21.79,South,High,Completed,77.84,5564
42,Clothing,193.71,193.71,Central,Medium,Cancelled,919.11,5279
43,Grocery,58.9,58.9,North,High,Returned,132.64,8149
44,Clothing,83.19,83.19,East,High,Returned,67.14,9821
45,Furniture,1156.24,1156.24,East,Low,Cancelled,4146.54,5920
46,Toys,101.7,101.7,East,Low,Pending,163.3,7211
47,Grocery,62.32,62.32,Central,High,Cancelled,124.95,6279
48,Beauty,69.06,69.06,Central,Medium,Pending,246.35,6491
49,Clothing,165.5,165.5,East,High,Pending,234.83,
50,Beauty,93.63,93.63,West,Medium,Pending,357.39,7547
51,Furniture,527.96,527.96,North,Medium,Pending,812.38,9486
52,Beauty,12.28,12.28,North,Medium,Pending,51.16,6198
53,Beauty,93.83,93.83,Central,Medium,Returned,428.64,8777
54,Beauty,42.58,42.58,East,Low,Returned,146.15,2269
55,Toys,39.0,39.0,Central,High,Pending,55.91,3503
56,Furniture,286.26,286.26,Central,Medium,Returned,303.87,7381
57,Electronics,1720.63,1720.63,West,Medium,Completed,8189.36,7389
58,Sports,273.73,273.73,Central,High,Returned,471.25,1475
59,Sports,174.7,174.7,West,Low,Pending,756.47,9751
60,Electronics,1818.51,1818.51,North,High,Returned,2491.25,1823
61,Toys,59.97,59.97,East,Medium,Returned,118.06,7906
62,Toys,126.06,126.06,Central,High,Cancelled,219.56,1659
63,Electronics,1901.74,1901.74,North,Low,Pending,3426.72,2874
64,Furniture,1448.6,1448.6,East,High,Completed,5891.06,6096
65,Clothing,119.95,119.95,Central,Low,Returned,295.79,2245
66,Furniture,395.51,395.51,Central,High,Completed,893.16,7071
67,Clothing,106.13,106.13,West,Medium,Completed,278.15,8532
68,Grocery,44.68,44.68,East,Low,Returned,122.98,5397
69,Books,51.84,51.84,North,Medium,Returned,94.57,7209
70,Books,6.58,6.58,South,Medium,Pending,15.07,5581
71,Toys,85.59,85.59,South,High,Pending,327.32,4937
